agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",21.0,0,0,Just found the perfect mechanical keyboard for my setup. The clicky sounds are honestly the most satisfying thing I've heard all week. ⌨️🔥,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",21.0,1,0,@user_816 facts. Most of these supplements are just overpriced sugar water marketed by influencers. Stick to the basics. 🍎💪,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",21.0,2,0,Finally tried that new burger joint in Banani. The truffle fries were actually insane. 🍟✨,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",21.0,3,0,@user_525 lol the 5 AM grind is such a scam. I’ll stick to my 11 AM coffee and actually getting some sleep. ☕️😴,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",21.0,4,0,Just finished the latest season of The Bear. The stress is unreal but the cinematography is top tier. Need a drink and a nap now. 👨‍🍳📺,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",21.0,5,0,Just spent three hours trying to find a bug that turned out to be a missing semicolon. I hate it here but the pay is too good to leave. 💻🤦‍♂️,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",21.0,6,0,Who actually likes the taste of matcha? It tastes like grass and disappointment. I’m sticking to my double espresso. 🍵🤢,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",21.0,7,0,Just started playing Elden Ring and I’ve died about fifty times in the first hour. I'm absolutely obsessed. 🎮💀,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",21.0,8,0,"@user_786 Honestly, the feeling of being the only one in the room who actually understands the data is unmatched. Enjoy the pancakes, you earned them. 🥞📈",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",21.0,9,0,Just saw a trailer for the new Dune movie. The visuals look absolutely mental. I need to find a screen big enough to actually do it justice. 🎥🏜️,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,0,1,Finally found a decent taco truck in the city! The spicy pork is actually authentic. Definitely worth the 20 minute walk.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,1,1,Just started a new gaming handheld and the screen is absolutely gorgeous. Can't wait to spend the whole weekend ignoring everything else.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,2,1,Just finished a 1000-piece puzzle of a map and it looks incredible on the wall. My back is killing me but it was totally worth it.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,3,1,"@user_619 I'm more of a burger and fries person after a game, but you can't beat a local slice. Hope you crushed the pins! 🎳",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,4,1,Just saw the trailer for the new sci-fi epic and the visuals look insane. My hype levels are through the roof! 🚀🎬,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,5,1,@user_407 Huge win! There is seriously no better feeling than a deployment that actually works on the first try. Enjoy that sun! ☀️,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,6,1,Just tried that new open-world RPG and the physics engine is actually wild. I've spent two hours just throwing crates off a cliff. Best way to waste a Tuesday.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,7,1,Just finished my first 5k run of the year! My legs are like jelly but I actually beat my last time. Time for a massive breakfast. 🏃‍♂️🍳,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,8,1,Just binged that new baking competition show and I'm suddenly convinced I can make a three-tier cake. My kitchen is about to be a disaster zone! 🍰👨‍🍳,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,9,1,Just upgraded my mechanical keyboard to those tactile switches and the click is so satisfying. My productivity is probably zero now because I just want to type random words for an hour. ⌨️✨,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",60.0,0,2,Just finished reading Garton's take on the Cold War and my mind is actually blown. History is so much more intense than the textbooks make it seem. Need to find more books like this ASAP!,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",60.0,1,2,Just spent three hours falling down a Wikipedia rabbit hole about the French Revolution. Why does school make this stuff sound so boring when it's actually just pure chaos?,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",60.0,2,2,Just found a digital archive of 19th century political cartoons and they are absolutely brutal. The level of shade they threw back then is honestly legendary.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",60.0,3,2,@user_93 I saw those! It's actually kind of cool how the city layout is changing. Makes the whole area feel way more alive.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",60.0,4,2,Anyone else think the 1920s were just one giant party until the economy decided to crash? Absolute madness.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",60.0,5,2,@user_87 honestly same. I just organized my desk by era and it feels like I actually have my life together for once. 📚✨,False
